saledate,productID,sale,volume
20140101,100,5996.2603,1163.172
20140102,100,2847.9399,555.99103
20140103,100,3483.5801,810.435
20140104,100,5159.3501,971.48798
20140105,100,4334.8901,860.82098
20140106,100,2445.29,545.13098
20140107,100,2560.1299,555.08099
20140108,100,3245.5701,706.04602
20140109,100,3902.5601,857.31702
20140110,100,4532.79,937.25
20140111,100,5403.0801,981.26703
20140112,100,4719.3599,892.22998
20140113,100,3029.49,557.59998
20140114,100,3389.3701,593.151
20140115,100,3442.3899,549.20801
20140116,100,3471.6101,633.263
20140117,100,3589.9299,660.00403
20140118,100,4789.6602,793.03003
20140119,100,4390.6299,702.849
20140120,100,2471.98,538.74103
20140121,100,3931.9399,746.50598
20140122,100,5100.0698,887.33002
20140123,100,4737.77,831.19598
20140124,100,5389.4302,819.89398
20140125,100,6227.0801,929.02899
20140126,100,5880.3101,867.659
20140127,100,7589.6802,1011.612
20140128,100,8144.9902,1233.46
20140129,100,10604.48,1406.384
20140130,100,5124.4902,708.53198
20140131,100,2001.28,287.724
20140201,100,2975.4199,439.26599
20140202,100,3038,439.26099
20140203,100,2653.5801,446.59201
20140204,100,3168.78,548.64001
20140205,100,3006.55,590.336
20140206,100,3123.8301,606.55603
20140207,100,2468.6499,512.53003
20140208,100,3617.1699,757.31097
20140209,100,4176.1699,857.94702
20140210,100,2581.25,578.11499
20140211,100,3431.4199,719.21198
20140212,100,3338.5701,835.97198
20140213,100,4535.3198,1425.324
20140214,100,3686.8101,826.55798
20140215,100,3346.8101,1044.719
20140216,100,4149.5898,1239.627
20140217,100,3484.4399,1110.9141
20140218,100,2956.2,984.49402
20140219,100,4298.6099,1078.873
20140220,100,3630.0701,979.05597
20140221,100,4281.6001,1033.9189
20140222,100,4280.4302,1000.962
20140223,100,4220.8198,949.02197
20140224,100,1997.5,436.315
20140225,100,1921.1801,426.95401
20140226,100,3935.21,1075.266
20140227,100,3891.1499,1323.8521
20140228,100,3818.8201,1027.9301
20140301,100,4447.6802,1268.933
20140302,100,4087.1899,1102.776
20140303,100,3207.1301,945.88
20140304,100,3586.5901,903.58197
20140305,100,3304.25,895.61102
20140306,100,2443.26,675.20502
20140307,100,555.28003,150.02699
20140308,100,1119.95,254.045
20140309,100,3184.0901,797.565
20140310,100,2294.45,617.88
20140311,100,2496.6399,668.86603
20140312,100,3869.72,1190.923
20140313,100,4697.1401,1349.521
20140314,100,4288.71,1064.814
20140315,100,5623.6699,1159.9561
20140316,100,4317.2402,1025.634
20140317,100,3172.99,788.04901
20140318,100,3682.3,877.36798
20140319,100,3169.1799,808.53497
20140320,100,3314.21,880.83398
20140321,100,4179.6602,988.01801
20140322,100,4375.8501,1078.199
20140323,100,4147.6602,1005.586
20140324,100,2981.1101,830.05499
20140325,100,3158.47,789.724
20140326,100,4555.9502,951.05298
20140327,100,3379.76,719.23297
20140328,100,3167.1101,704.24799
20140329,100,3702.6899,780.51398
20140330,100,3961.6201,907.84399
20140331,100,2543.25,577.409
20140401,100,2831.48,677.24103
20140402,100,2332.6201,763.93701
